issue_description,category
Assistance required in consolidating multiple invoices.,billing
Monthly service fee increased without prior notice.,billing
Failure to issue refund for a returned product.,billing
Request for early termination charge dispute.,billing
Old account linked and charged inadvertently.,billing
Problems accessing and downloading billing reports.,billing
Urgent assistance required for a billing freeze request.,billing
Cross-checked statement shows an unexpected void charge.,billing
Inquiring about a sudden change in the billing descriptor.,billing
I was double-charged for my subscription this month.,billing
Why is there a late fee on my last bill?,billing
I need help understanding a transaction on my billing statement.,billing
Can I get a refund for the incorrect amount charged to my account?,billing
"My credit card was billed, but I have not received my order.",billing
There is a charge on my bill that I don't recognize.,billing
Why did I receive a past due notice when I paid my bill early?,billing
I received a payment confirmation but it still reflects unpaid on my account.,billing
Please explain the extra fees added to my recent invoice.,billing
I was charged for a service I never used.,billing
I want to update my billing information on the account.,billing
Why was there a change in the billing cycle date?,billing
The discount I was promised was not applied to my bill.,billing
I'm seeing an additional tax charge on my invoice that wasn't there before.,billing
I need to change the credit card that my subscription is billed to.,billing
My billing address is incorrect on the current statement.,billing
I was charged after canceling my subscription. Please assist.,billing
Why was my account auto-renewed without my consent?,billing
Can you provide an itemized breakdown of my bill?,billing
The billing amount differs from what was advertised at the time of purchase.,billing
I need a copy of my previous billing statements.,billing
I'm unable to view or download my invoice from your website.,billing
Why am I still being charged for a trial service?,billing
The payment plan details were not clearly communicated in advance.,billing
I received a bill after switching to a different provider.,billing
"My payment was declined, but funds were available in my account.",billing
The currency conversion rate increased my billing unexpectedly.,billing
I've been billed for a service that should have been complimentary.,billing
Can you explain the terms for the recent price increase on my bill?,billing
I was promised reimbursement but have not received it yet.,billing
Why does the installment payment differ from the initial agreement?,billing
I'm unable to update my billing preferences on your website.,billing
There was an error processing my last payment.,billing
I require a VAT invoice for my recent purchase.,billing
Why was there a surcharge on my international transaction?,billing
Please check why my payment did not reflect on your system.,billing
The billing system is not accepting my new payment method.,billing
I need assistance with setting up automated payments.,billing
Why was my promotional offer not credited in this billing cycle?,billing
What options do I have to dispute a charge on my account?,billing
Can you provide clarity on your refund policy?,billing
My account was suspended despite settling all dues.,billing
I found a duplicate charge on my account statement.,billing
The billing notice I received is for a different customer.,billing
I've been charged after product return. How do I get a refund?,billing
I want to know more about bundled billing services you offer.,billing
Late payment fees were charged but my pay date was within the grace period.,billing
The due date of my bill changed without any prior notice.,billing
Customer was overcharged for the last transaction.,billing
Invoice for June is missing from the account history.,billing
Request for a refund on a duplicate payment.,billing
Incorrect billing address on the recent receipt.,billing
"Payment method declined, need to verify card details.",billing
Customer sees an unauthorized charge on their credit card.,billing
Issue with applying a promotional discount code.,billing
Account shows unpaid balance despite recent payment.,billing
Request to change billing frequency from monthly to yearly.,billing
Need clarification on disputed transaction fee.,billing
System error while processing last payment.,billing
Customer was double-billed for the same service.,billing
Invoice contains incorrect service details.,billing
Payment confirmation email was not received.,billing
Need assistance with updating billing information.,billing
Billing history shows transactions that were not authorized.,billing
Recurring charge did not process as expected.,billing
Account was charged after subscription cancellation.,billing
Customer wants a breakdown of last month's bill.,billing
Inquiry about additional service charges on invoice.,billing
Request to update credit card information for billing.,billing
Customer was charged after service was paused.,billing
Error applying credits to the current bill.,billing
Request for a detailed receipt of last transaction.,billing
Discrepancy in the billing amount for recent order.,billing
Need help with understanding the tax charges on bill.,billing
Refund not processed after service overcharge.,billing
Customer was billed for a service not subscribed to.,billing
Need to set up auto-pay for future bills.,billing
Unable to download the latest invoice from the portal.,billing
Request for deferred payment option on current bill.,billing
Need assistance with combining multiple invoices.,billing
Billing cycle dates need to be adjusted.,billing
Request to remove outdated payment method.,billing
Currency conversion error noticed in the bill.,billing
Customer was charged outdated pricing for services.,billing
Need explanation for high international transaction fees.,billing
Auto-payment failed due to insufficient funds.,billing
Incorrect application of loyalty points on billing.,billing
Invoices archived incorrectly in the billing portal.,billing
Request to split payment across multiple credit cards.,billing
Billing system does not recognize existing balance.,billing
Customer experienced a delay in billing update.,billing
Need to access and print archived billing statements.,billing
Double payments were made through different methods.,billing
Request to modify payment terms on current account.,billing
Notification of bill due date was not received.,billing
Charge on a canceled product or service.,billing
Inconsistency in billing cycle duration.,billing
Customer was charged twice for a single purchase.,billing
Billing statement shows unexpected fees.,billing
Refund was not processed after refund request was accepted.,billing
Payment method was declined despite having sufficient funds.,billing
Charges from the company appear monthly but were cancelled last month.,billing
Customer needs itemized bill for last month’s purchases.,billing
Incorrect billing address leading to charges not going through.,billing
Credit card expired but system will not update to the new one.,billing
Billing portal is not showing updated payment history.,billing
Charge for a service that has been canceled.,billing
Payment system failed during online checkout.,billing
Need detailed clarification on a recent charge.,billing
Requests partial refund due to accidental double charge.,billing
Billing discrepancy between what was shown and what was billed.,billing
Customer was promised a discount but full amount was billed.,billing
Unable to access invoice for recent purchase.,billing
Customer charged for premium service but only has standard access.,billing
Amounts debited despite subscription being deactivated.,billing
Want to change billing cycle from monthly to annual.,billing
Refund is taking longer than the promised period to reflect.,billing
System is incorrectly calculating taxes leading to overcharge.,billing
Wants to update billing information but system is unresponsive.,billing
Dispute over a transaction that was flagged as fraudulent.,billing
Customer was charged in incorrect currency.,billing
Pre-authorisation hold on account has not been released.,billing
Repeated billing for a one-time service.,billing
Lost billing statement needs to be resent.,billing
Overcharged due to system error – wants rectification.,billing
Didn't receive the billing receipt for last month.,billing
Promotional discount not applied during billing process.,billing
Erroneous charge for digital subscription not used.,billing
Need assistance with setting up automatic payment method.,billing
Requested a bill adjustment due to incorrect billing.,billing
Payment confirmation not received though amount was deducted.,billing
Queries about unclear billing terms and conditions.,billing
Usage data inaccurate resulting in unexpected bill.,billing
Investigate claim of unauthorised billing.,billing
Account was billed but did not receive the products.,billing
Charge for the wrong product needs to be corrected.,billing
Bill shows services not requested by customer.,billing
Customer needs to split bill among different payment methods.,billing
Issue with applying a gift card towards billing.,billing
Billing email notifications aren't reaching the correct address.,billing
Past due balance posted in error according to customer.,billing
Late fee charged despite on-time payment by customer.,billing
Need to change the billing contact name and details.,billing
Bill calculation error due to system outage.,billing
Subscription auto-renewed without prior consent.,billing
Request for breakdown of administrative charges in bill.,billing
Incorrect billing of promotional offer.,billing
Charge on credit card not recognized.,billing
Incorrect billing amount for last invoice.,billing
Duplicate charges detected for recent purchase.,billing
Refund not processed for returned item.,billing
Monthly subscription fee charged twice.,billing
Need explanation for additional service fee.,billing
Account shows billing error message.,billing
Expired credit card still being charged.,billing
Payment due date not aligned with settings.,billing
Unexpected charge from partner service.,billing
Request for breakdown of all recent charges.,billing
Payment confirmation email not received.,billing
Overcharge on international transaction.,billing
Incorrect currency conversion on invoice.,billing
Problem with applying promo code discount.,billing
Recurring payment setup not working.,billing
Billing address update not reflected.,billing
Request for extension on payment deadline.,billing
Can’t access billing statement online.,billing
Payment plan needs to be adjusted.,billing
Incorrect tax applied on purchase.,billing
Need receipt for last transaction.,billing
Subscription renewal without consent.,billing
Payment failed but bank shows deduction.,billing
Seeking clarification on bundled billing.,billing
Request to pause billing temporarily.,billing
Invoice missing from account records.,billing
Upgrade fee differs from planned amount.,billing
Miscommunication about payment terms.,billing
Trial period ended with unexpected billing.,billing
Early termination fee query.,billing
Balance shows incorrect outstanding amount.,billing
Confusion about prorated credit/refund.,billing
Apple Pay billing doesn't match statement.,billing
On hold fee explanation request.,billing
Dispute over service charge amount.,billing
Request for senior discount on bill.,billing
Unresolved error on automated billing.,billing
Bank information update not processing.,billing
Monthly billing cycle adjustment needed.,billing
Inquiry regarding prepaid service refund.,billing
Change in billing cycle unapproved.,billing
Member discount not reflected in subtotal.,billing
Request for copy of detailed billing report.,billing
Financial aid application affecting billing.,billing
Invoice sent to wrong email address.,billing
Yearly plan billed as monthly.,billing
Inquiry about switching billing methods.,billing
Service disruption fee incorrect.,billing
Need help with deferred payment setup.,billing
Invoice shows incorrect amount for last month's service.,billing
Charged twice for a single transaction in July.,billing
Unable to access billing history through the portal.,billing
Late fee applied despite on-time payment.,billing
Subscription amount different from what's advertised.,billing
"Credit card rejected, but there are sufficient funds.",billing
Monthly bill not received for this month.,billing
Refund still not processed after cancellation.,billing
Unexpected charges on account that I don't recognize.,billing
Billing address update not reflecting on my account.,billing
Billing cycle date changed without notification.,billing
Charged for service upgrade I didn't authorize.,billing
Received a payment reminder for an already settled invoice.,billing
Auto-payment failed for unknown reasons.,billing
Promotional discount not applied to current bill.,billing
Requesting a detailed breakdown of charges on current bill.,billing
Invoice missing after recent purchase.,billing
Customer support isn't verifying the billing query.,billing
Want to change payment method but system doesn't allow.,billing
Discrepancy between quoted and charged rate on bill.,billing
Need clarification on prorated charges.,billing
Previous payments aren't reflected on the billing statement.,billing
Receiving bills for a service I no longer use.,billing
VAT charge calculated incorrectly on last transaction.,billing
Duplicate invoice issue for the same billing cycle.,billing
Attempt to pay online shows 'transaction error'.,billing
Service suspended due to billing error.,billing
Request to switch from monthly to annual billing is unprocessed.,billing
"Notification of payment received, but amount deducted twice.",billing
Incorrect billing for add-on services.,billing
Receiving notifications that billing attempts are failing.,billing
Payment method declined but details are correct.,billing
Billed for roaming charges not used during trip.,billing
Persistent issues with re-entering payment details.,billing
Discount not carried over from previous billing cycle.,billing
Prepaid balance not applied to current bill.,billing
Billing query raised but no response from support.,billing
Concern about unauthorized billing changes.,billing
Lifetime subscription switched to monthly billing without consent.,billing
Disputed charge still on statement after resolution confirmation.,billing
System glitch leads to overcharge on bill.,billing
Service activation fee charged but was supposed to be waived.,billing
Billing portal down when attempting to view history.,billing
Multiple errors in billing amounts on recent statement.,billing
Billed for cancelled service still appearing.,billing
Special offer rate not granted in billing section.,billing
Request for bill adjustment due to account error.,billing
Can't access bill payment page.,billing
Owner's name incorrect on billing section despite request for change.,billing
Billing inquiry suggested resolved but issue persists.,billing
I was charged twice for my subscription this month.,billing
I received an invoice for a service I didn't purchase.,billing
My account shows a pending payment that I already completed.,billing
There is an unexpected charge on my credit card statement.,billing
Can you explain why my bill is higher than last month?,billing
I need a refund for a duplicate payment I made accidentally.,billing
Why was my payment method declined for the latest bill?,billing
"I was charged a late fee, but I paid on time.",billing
I want to change the billing date for my account.,billing
Please provide a detailed breakdown of my last invoice.,billing
"I was promised a discount, but it wasn't applied to my bill.",billing
"I cancelled my service, but I'm still being billed.",billing
"My automatic payment didn't go through, what went wrong?",billing
I need to update my billing information.,billing
The amount on my bill doesn't match the agreed contract.,billing
Why was I charged for an inactive account?,billing
I see charges for an unknown service on my bill.,billing
"I didn't authorize this payment, please investigate.",billing
The currency conversion on my bill seems incorrect.,billing
Why is there a surcharge on my recent bill?,billing
"I prepaid, but still received a billing reminder.",billing
The tax applied on my bill seems incorrect.,billing
I want to add a new payment method to my account.,billing
"I received a payment confirmation, but not the receipt.",billing
The billing portal shows an outdated amount due.,billing
I want to switch from annual to monthly billing.,billing
Please send me a copy of my last three invoices.,billing
My payment was processed but not reflected on my account.,billing
There was a promotional offer that wasn't applied.,billing
I need assistance with splitting the bill between accounts.,billing
I accidentally made a payment to the wrong account.,billing
Why is there an installment fee on my bill?,billing
I was charged for a free trial that I cancelled.,billing
Please update my account to reflect my new billing address.,billing
A service charge was added without prior notice.,billing
I want to dispute an erroneous charge on my bill.,billing
My billing statement is in the wrong language.,billing
I need a receipt for a business expense report.,billing
There's a hidden fee on my latest bill.,billing
I need clarification on some codes listed in my bill.,billing
Why is there a foreign transaction fee on my account?,billing
I was overcharged for international services.,billing
Please consolidate my bills into a single statement.,billing
I switched plans and my bill didn't update.,billing
I was charged after cancelling my service.,billing
What are these miscellaneous charges on my invoice?,billing
I want to set up a recurring billing arrangement.,billing
How do I apply a credit balance to my bill?,billing
I didn't receive an electronic copy of my last invoice.,billing
I'm unable to access the online billing portal.,billing
The customer has been charged twice for their monthly subscription.,billing
"Payment failed during checkout, and the customer needs assistance.",billing
The customer is requesting a refund for an overcharge on their account.,billing
The billing address on file needs to be updated.,billing
The customer’s invoice is showing an incorrect amount due.,billing
Customer was billed for a service they did not receive.,billing
The subscription auto-renewal was unauthorized by the customer.,billing
Customer needs help understanding the charges on their latest statement.,billing
Payment confirmation email was not received by the customer.,billing
Customer’s credit card is being declined at checkout.,billing
A refund processed by the customer has not appeared in their account.,billing
Customer needs to update their payment method for upcoming invoices.,billing
"Charges for last month are higher than expected, clarification needed.",billing
A student discount was not applied; help needed with recalculating bill.,billing
Customer wants to dispute a charge they do not recognize.,billing
Billing discrepancies found in comparison to previous months.,billing
Customer is looking for a detailed breakdown of their charges.,billing
The promotion price was not reflected in this month's bill.,billing
Customer was incorrectly charged a cancellation fee.,billing
"Expired credit card led to a suspension of account, assistance required.",billing
Billing cycle needs to be changed from monthly to annually.,billing
Invoice for business services required for the customer’s accounting team.,billing
"Past due notice received despite recent payment, clarification needed.",billing
Error in recurring billing process charging customer on an incorrect date.,billing
Issue with billing currency resulting in incorrect charge amount.,billing
"Customer’s payment was processed twice, requiring a refund.",billing
Invoice is missing from the customer's account portal.,billing
Need to change the billing date to better align with pay schedule.,billing
Customer claims they are receiving invoices in the wrong email address.,billing
Customer does not remember authorizing recent payment charge.,billing
Request to review and correct payment terms on contract agreement.,billing
Billing portal access issues preventing customer from viewing invoices.,billing
Incorrect tax applied to the customer's purchase.,billing
The setup fee charged was higher than initially quoted.,billing
Annual subscription was automatically renewed without customer consent.,billing
Adjustment needed for applied late fees due to payment processing error.,billing
"Previous billing dispute remains unresolved, customer seeks resolution.",billing
Change in payment plan requested to better suit customer needs.,billing
Billing department needs to verify a charge authorized with a discount.,billing
A feedback review is needed on system-generated billing alerts.,billing
Security deposit refund query for customer who has canceled services.,billing
Duplicate receipt requests for record-keeping and reconciliation purposes.,billing
"Recurring billing was inadvertently stopped, customer requests resumption.",billing
Customer seeks advice on using prepaid card for billing purposes.,billing
Inquiry about installment payment options for large invoices.,billing
Transaction ID required to confirm a specific payment.,billing
Incorrect billing discount applied after recent promotion updates.,billing
A one-time payment failed but funds were still deducted from account.,billing
Request to consolidate multiple accounts into a unified billing statement.,billing
Customer experiencing difficulties with online billing system login.,billing
Customer was double charged for their subscription this month.,billing
The billing address on the invoice is incorrect.,billing
Received an invoice for a service not subscribed to.,billing
"Payment method declined, but the card is valid.",billing
Need a refund for a mistaken transaction.,billing
Error applying promo code at checkout.,billing
Request to change payment date for monthly billing.,billing
"Upgrade was charged, but features not activated.",billing
Invoice amount does not match order summary.,billing
"Subscription canceled, but still billed this month.",billing
Requested receipt not received via email.,billing
Need to update expired credit card information.,billing
Confused about taxes included in last invoice.,billing
Discrepancy between billed amount and agreed price.,billing
"Invoice shows late fee, but payment was on time.",billing
Issue with currency conversion on international purchase.,billing
Need breakdown of charges on last bill.,billing
Request to add alternate payment method failed.,billing
One-time payment processed as recurring.,billing
Billing portal access issues preventing payment.,billing
Discount not correctly applied to recent invoice.,billing
Overcharge appeared after recent upgrade.,billing
Need documentation for past six months' bills.,billing
Request for deferring payment to next cycle.,billing
"Received bill for an old, resolved account.",billing
Confusion over partial month billing charges.,billing
Previous payment applied to wrong account.,billing
Failed to receive automated reminder for upcoming bill.,billing
Card charged without prior authorization.,billing
Cannot access past invoices older than three months.,billing
Additional service charge not previously agreed to.,billing
Billing report download continually fails.,billing
Platform showing unpaid bills despite payment confirmation.,billing
Duplicate payment error notification received.,billing
Request to remove a billing account from profile.,billing
Request for detailed invoice with project codes.,billing
Unrecognized charge from company on bank statement.,billing
Rewards program not reflecting correct billing credit.,billing
"Refund issued, but not appearing on statement.",billing
Need to archive old paid invoices from account dashboard.,billing
Trying to retrieve deleted invoice from account.,billing
System glitch caused incorrect payment amount to process.,billing
Assistance needed for setting up direct debit payments.,billing
"Payment failure email received, but account has sufficient funds.",billing
Need assistance with setting up automated billing alerts.,billing
Request to deactivate current payment method stalled.,billing
Issue with accessing receipts for reimbursed bills.,billing
Inconsistent VAT charges across different invoices.,billing
Expired card listed as default payment method.,billing
Need urgent account review for billing errors.,billing
I was charged twice for my subscription this month.,billing
Why is there an additional fee on my bill?,billing
"My payment didn't go through, but I was still charged.",billing
I need a receipt for my last payment.,billing
Can you explain the late fee on my account?,billing
I was eligible for a discount but wasn't applied to my bill.,billing
"My auto-payment failed, and I don't know why.",billing
There's a billing discrepancy with my last invoice.,billing
"I cancelled my service, but I'm still getting charged.",billing
I received a payment confirmation for an order I didn't make.,billing
The amount charged to my card is incorrect.,billing
I need to update my payment method on file.,billing
Why is my bill higher than usual this month?,billing
I was charged for a service I didn't request.,billing
I incurred an international transaction fee; please clarify.,billing
The promotional offer I signed up for wasn't reflected in my billing.,billing
I accidentally made a double payment. How do I get a refund?,billing
There is an unexplained charge on my bank statement.,billing
How can I change my billing cycle?,billing
I need an explanation for the surcharges on my bill.,billing
"My payment is due soon, but I haven't received my invoice yet.",billing
I want to dispute a charge on my recent bill.,billing
Is there an option to switch to a different billing tier?,billing
I need help understanding the taxes applied to my bill.,billing
I didn't receive the service I was billed for.,billing
I need a breakdown of my current bill charges.,billing
